校名簡稱,校名全銜,等級別,縣市名稱,公/私立,原區,是否重點學校,地址,電話,學校網址,全校班級數,全校學生數,原住民籍學生總數,原住民籍學生總數占該校學生總數比率,主要/次要民族（30%以上）                     ,主要民族學生總數,主要民族占該校原住民籍學生總數比率,次要民族學生總數,次要民族占該校原住民籍學生總數比率,阿美族,泰雅族,排灣族,布農族,卑南族,魯凱族,鄒族,賽夏族,雅美族,邵族,噶瑪蘭族,太魯閣族,撒奇萊雅族,賽德克族,拉阿魯哇族,卡那卡那富族,尚未申報族籍
縣立新港國中,臺東縣立新港國民中學,國中,臺東縣,公立,是,是,[961]臺東縣成功鎮中正路1號,(089)851034,http://www.hkjh.ttct.edu.tw,12,272,135,0.5,阿美族,126,0.93,0,0,126,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0
長濱國中,臺東長濱國民中學,國中,臺東縣,公立,是,是,[962]臺東縣長濱鄉長濱村15鄰180號,(089)831017,http://www.cpjhs.ttct.edu.tw,6,115,64,0.56,阿美族,56,0.88,0,0,56,3,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0
玉東國中,花蓮玉東國民中學,國中,花蓮縣,公立,是,是,[981]花蓮縣玉里鎮松浦里松浦39號,(03)8851062,http://www.ytjh.hlc.edu.tw,6,89,72,0.81,阿美族,68,0.94,0,0,68,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
縣立美崙國中,花蓮縣立美崙國民中學,國中,花蓮縣,公立,是,是,[970]花蓮縣花蓮市化道路40巷1號,(03)8223537,http://www.mljh.hlc.edu.tw,20,476,196,0.41,阿美族,101,0.52,0,0,101,10,0,29,1,0,0,0,0,0,0,50,3,2,0,0,0
縣立壽豐國中,花蓮縣立壽豐國民中學,國中,花蓮縣,公立,是,是,[974]花蓮縣壽豐鄉豐裡村中山路132號,(03)8652111,http://www.sfjh.hlc.edu.tw,9,215,80,0.37,阿美族,74,0.93,0,0,74,1,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0
光復國中,花蓮光復國民中學,國中,花蓮縣,公立,是,是,[976]花蓮縣光復鄉大馬村林森路200號,(03)8701027,http://www.kfjhs.hlc.edu.tw,11,233,147,0.63,阿美族,121,0.82,0,0,121,2,1,7,2,0,0,0,0,0,0,12,0,2,0,0,0
縣立富源國中,花蓮縣立富源國民中學,國中,花蓮縣,公立,是,是,[976]花蓮縣光復鄉大富村中山路一段2號,(03)8811002,http://www.fyjh.hlc.edu.tw,5,64,36,0.56,阿美族/布農族,18,0.5,17,0.47,18,0,0,17,0,0,0,0,0,0,1,0,0,0,0,0,0
豐濱國中,花蓮豐濱國民中學,國中,花蓮縣,公立,是,是,[977]花蓮縣豐濱鄉光豐路26號,(03)8791159,http://www.fpjh.hlc.edu.tw/,4,52,46,0.88,阿美族,40,0.87,0,0,40,0,1,1,0,0,0,0,0,0,3,1,0,0,0,0,0
縣立瑞穗國中,花蓮縣立瑞穗國民中學,國中,花蓮縣,公立,是,是,[978]花蓮縣瑞穗鄉成功北路18號,(03)8873111,http://www.zsjh.hlc.edu.tw,14,251,154,0.61,阿美族,91,0.59,0,0,91,1,2,21,0,0,0,0,0,0,0,34,2,3,0,0,0
縣立自強國中,花蓮縣立自強國民中學,國中,花蓮縣,公立,是,是,[970]花蓮縣花蓮市裕祥路89號,(03)8579338,http://www.zcjh.hlc.edu.tw,26,702,243,0.35,阿美族,130,0.53,0,0,130,12,3,12,3,2,0,0,0,0,2,64,12,3,0,0,0
縣立化仁國中,花蓮縣立化仁國民中學,國中,花蓮縣,公立,是,是,[973]花蓮縣吉安鄉東昌村東海十街3號,(03)8543471,http://www.hrjh.hlc.edu.tw,15,316,165,0.52,阿美族,130,0.79,0,0,130,7,2,3,2,0,0,0,0,0,2,16,2,1,0,0,0
私立淡江高中,新北市私立淡江高級中學,完全中學,新北市,私立,否,否,[251]新北市淡水區真理街26號,(02)26203850 ,http://www.tksh.ntpc.edu.tw ,63,2201,42,0.02,阿美族/泰雅族,19,0.45,14,0.33,19,14,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0
市立樹林高中,新北市立樹林高級中學,完全中學,新北市,公立,否,是,[238]新北市樹林區中華路8號,(02)86852011 ,http://www.slsh.ntpc.edu.tw,93,2701,203,0.08,阿美族,137,0.67,0,0,137,13,17,15,3,1,0,5,0,0,1,9,2,0,0,0,0
市立金山高中,新北市立金山高級中學,完全中學,新北市,公立,否,否,[208]新北市金山區美田里文化二路2號,(02)24982028,http://www.cshs.ntpc.edu.tw,37,938,57,0.06,阿美族,25,0.44,0,0,25,17,6,7,1,0,0,0,0,0,0,1,0,0,0,0,0
國立臺東大學附屬體育高中,國立臺東大學附屬體育高級中學,完全中學,臺東縣,公立,是,是,[950]臺東縣臺東市體中路1號,(089)383629,http://www.ntpehs.ttct.edu.tw,21,401,309,0.77,阿美族,149,0.48,0,0,149,10,48,19,51,15,0,0,6,0,0,1,0,0,0,0,0
私立育仁高中,臺東縣私立育仁高級中學,完全中學,臺東縣,私立,是,是,[950]臺東縣臺東市中興路四段485號,(089)382839  ,http://www.lotus.ttct.edu.tw,12,246,76,0.31,阿美族,30,0.39,0,0,30,1,12,11,16,4,0,0,1,0,0,1,0,0,0,0,0
私立海星高中,花蓮縣私立海星高級中學,完全中學,花蓮縣,私立,是,是,[971]花蓮縣新城鄉嘉新村嘉新路36號,(03)8223116,http://www.smhs.hlc.edu.tw,33,1184,494,0.42,阿美族,269,0.54,0,0,269,19,17,32,2,1,0,1,3,0,2,144,2,2,0,0,0
八斗高中,基隆市立八斗高級中學,完全中學,基隆市,公立,否,否,[202]基隆市中正區新豐街100號,(02)24692366,http://www.bdjh.kl.edu.tw ,26,483,127,0.26,阿美族,119,0.94,0,0,119,4,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0
私立南強工商,新北市私立南強高級工商職業學校,高級中等學校,新北市,私立,否,否,[231]新北市新店區文化路42號,(02)29155144,http://www.ncvs.ntpc.edu.tw/ ,53,1624,85,0.05,阿美族,44,0.52,0,0,44,13,9,12,0,0,0,1,3,0,0,3,0,0,0,0,0
私立莊敬工家,新北市私立莊敬高級工業家事職業學校,高級中等學校,新北市,私立,否,否,[231]新北市新店區民生路45號,(02)22188956 ,http://www.jjvs.ntpc.edu.tw,107,4774,266,0.06,阿美族,130,0.49,0,0,130,58,22,25,6,1,0,4,1,0,0,17,1,1,0,0,0
私立光啟高中,光啟學校財團法人桃園市光啟高級中等學校,高級中等學校,桃園市,私立,否,否,[333]桃園市龜山區自由街40號,(02)82098313,http://www.phsh.tyc.edu.tw,42,1488,98,0.07,阿美族,69,0.7,0,0,69,7,5,6,1,0,1,2,0,0,0,7,0,0,0,0,0
私立高苑工商,高雄縣私立高苑高級工商職業學校,高級中等學校,高雄市,私立,否,是,[825]高雄市橋頭區東林里芋寮路1號,(07)6111101,http://www.kyvs.ks.edu.tw,69,1861,110,0.06,阿美族/排灣族,35,0.32,33,0.3,35,9,33,19,2,4,3,0,1,0,0,2,0,0,1,1,0
台東高中,國立台東高級中學,高級中等學校,臺東縣,公立,否,否,[950]臺東縣臺東市中華路一段721號,(089)322070  ,http://www.pttsh.ttct.edu.tw ,32,951,267,0.28,阿美族,85,0.32,0,0,85,1,73,52,28,20,0,0,6,0,0,2,0,0,0,0,0
國立臺東專科學校(高職部),國立臺東專校附設高職部,高級中等學校,臺東縣,公立,是,是,[950]臺東縣臺東市正氣北路889號,(089)226389,http://www.ntc.edu.tw,36,955,422,0.44,阿美族,196,0.46,0,0,196,6,98,43,56,11,0,0,9,0,0,3,0,0,0,0,0
國立臺東高商,國立臺東高級商業職業學校,高級中等學校,臺東縣,公立,是,是,[950]臺東縣臺東市正氣路440號,(089)350575,http://www.tscvs.ttct.edu.tw,37,1014,364,0.36,阿美族,163,0.45,0,0,163,7,75,31,55,10,0,0,20,0,0,3,0,0,0,0,0
國立成功商水,國立成功商業水產職業學校,高級中等學校,臺東縣,公立,是,是,[961]臺東縣成功鎮太平路52號,(089)850011,http://www.ckvs.ttct.edu.tw,12,200,116,0.58,阿美族,93,0.8,0,0,93,1,7,8,2,1,0,1,1,0,1,1,0,0,0,0,0
私立公東高工,台東縣私立公東高級工業職業學校,高級中等學校,臺東縣,私立,是,是,[950]臺東縣臺東市中興路1段560號,(089)222877,http://www.ktus.ttct.edu.tw,34,1116,473,0.42,阿美族,222,0.47,0,0,222,6,128,30,65,12,0,0,7,0,0,2,0,1,0,0,0
國立玉里高中,國立玉里高級中學,高級中等學校,花蓮縣,公立,是,是,[981]花蓮縣玉里鎮中華路424號,(03)8886171,http://www.ylhs.hlc.edu.tw,32,537,257,0.48,阿美族/布農族,139,0.54,89,0.35,139,6,5,89,0,0,0,0,0,0,0,14,0,4,0,0,0
國立花蓮高農,國立花蓮高級農業職業學校,高級中等學校,花蓮縣,公立,是,是,[970]花蓮縣花蓮市建國路161號,(03)8312301,http://www.hla.hlc.edu.tw,35,776,393,0.51,阿美族,230,0.59,0,0,230,15,2,18,2,1,0,0,0,0,3,114,1,0,0,0,7
國立花蓮高工,國立花蓮高級工業職業學校,高級中等學校,花蓮縣,公立,是,是,[970]花蓮縣花蓮市府前路27號,(03)8226108,http://www.hlis.hlc.edu.tw,50,1256,449,0.36,阿美族,266,0.59,0,0,266,15,5,21,3,0,0,1,0,0,6,128,3,1,0,0,0
國立光復商工,國立光復高級商工職業學校,高級中等學校,花蓮縣,公立,是,是,[976]花蓮縣光復鄉林森路100號,(03)8700245,http://www.kfcivs.hlc.edu.tw,16,238,144,0.61,阿美族/太魯閣族,86,0.6,45,0.31,86,3,2,7,1,0,0,0,0,0,0,45,0,0,0,0,0
私立四維高中,四維學校財團法人花蓮縣四維高級中學,高級中等學校,花蓮縣,私立,是,是,[970]花蓮縣花蓮市中山路一段200號,(03)8561455,http://www.swsh.hlc.edu.tw,39,1681,635,0.38,阿美族/太魯閣族,333,0.52,207,0.33,333,29,5,43,2,1,0,0,0,0,6,207,7,2,0,0,0
花蓮縣上騰工商,花蓮縣上騰高級工商職業學校,高級中等學校,花蓮縣,私立,是,是,[973]花蓮縣吉安鄉吉安村吉興4街101號,(03)8538565,http://www.chvs.hlc.edu.tw,26,473,271,0.57,阿美族/太魯閣族,147,0.54,85,0.31,147,16,10,9,2,0,0,0,1,0,0,85,1,0,0,0,0
花蓮縣立體育高中,花蓮縣立體育高級中等學校,高級中等學校,花蓮縣,公立,是,是,[970]花蓮縣花蓮市達固湖灣大路21號,(03)8462610,http://mail.hpehs.hlc.edu.tw,6,106,76,0.72,阿美族,42,0.55,0,0,42,4,4,12,1,1,0,0,0,0,0,10,2,0,0,0,0
市立福山國小,新北市烏來區福山國民小學,國小,新北市,公立,是,是,[233]新北市烏來區福山里李茂岸56號,(02)26616124,http://www.fses.ntpc.edu.tw,6,15,12,0.8,泰雅族,10,0.83,0,0,1,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
四季國小,宜蘭縣大同鄉四季國民小學,國小,宜蘭縣,公立,是,是,[267]宜蘭縣大同鄉四季村和勳巷1號,(03)9809312,http://www.sches.ilc.edu.tw,16,78,78,1,泰雅族,78,1,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣立南山國小,宜蘭縣大同鄉南山國民小學,國小,宜蘭縣,公立,是,是,[267]宜蘭縣大同鄉南山村四鄰埤南巷31之3號,(03)9809113,http://www.nses.ilc.edu.tw,6,74,74,1,泰雅族,74,1,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣立大同國小,宜蘭縣大同鄉大同國民小學,國小,宜蘭縣,公立,是,是,[267]宜蘭縣大同鄉崙埤村10之9號,(03)9801172,http://www.dtes.ilc.edu.tw,18,86,82,0.95,泰雅族,82,1,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣立寒溪國小,宜蘭縣大同鄉寒溪國民小學,國小,宜蘭縣,公立,是,是,[267]宜蘭縣大同鄉寒溪村寒溪巷16號,(03)9517441,http://www.hsies.ilc.edu.tw,6,66,66,1,泰雅族,65,0.98,0,0,1,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
南澳國小,宜蘭縣南澳鄉南澳國民小學,國小,宜蘭縣,公立,是,是,[272]宜蘭縣南澳鄉南澳村中正路15號,(03)9981228,http://www.naes.ilc.edu.tw,6,81,79,0.98,泰雅族,77,0.97,0,0,1,77,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
縣立碧候國小,宜蘭縣南澳鄉碧候國民小學,國小,宜蘭縣,公立,是,是,[272]宜蘭縣南澳鄉碧候村自覺巷38號,(03)9981634,http://www.bhoes.ilc.edu.tw,6,88,84,0.95,泰雅族,82,0.98,0,0,1,82,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
武塔國小,宜蘭縣南澳鄉武塔國民小學,國小,宜蘭縣,公立,是,是,[272]宜蘭縣南澳鄉武塔村新溪路1號,(03)9981632,http://www.utaes.ilc.edu.tw,6,31,31,1,泰雅族,31,1,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣立澳花國小,宜蘭縣南澳鄉澳花國民小學,國小,宜蘭縣,公立,是,是,[272]宜蘭縣南澳鄉澳花村中央路19號,(03)9985141,http://blog.ilc.edu.tw/blog/blog/28531,6,87,87,1,泰雅族,76,0.87,0,0,5,76,2,0,0,1,0,0,0,0,0,3,0,0,0,0,0
縣立東澳國小,宜蘭縣南澳鄉東澳國民小學,國小,宜蘭縣,公立,是,是,[272]宜蘭縣南澳鄉東岳村蘇花路三段209號,(03)9986217,http://www.daes.ilc.edu.tw,6,58,49,0.84,泰雅族,49,1,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣立金岳國小,宜蘭縣南澳鄉金岳國民小學,國小,宜蘭縣,公立,是,是,[272]宜蘭縣南澳鄉金岳村 (路) 二號,(03)9981636,http://blog.ilc.edu.tw/blog/blog/29956,6,46,46,1,泰雅族,44,0.96,0,0,0,44,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
縣立金洋國小,宜蘭縣南澳鄉金洋國民小學,國小,宜蘭縣,公立,是,是,[272]宜蘭縣南澳鄉金洋村11號,(03)9981486,http://www.kyes.ilc.edu.tw,6,39,39,1,泰雅族,37,0.95,0,0,0,37,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
市立介壽國小,桃園市復興區介壽國民小學,國小,桃園市,公立,是,是,[336]桃園市復興區澤仁里中正路33號,(03)3822364,http://www.jses.tyc.edu.tw,6,78,59,0.76,泰雅族,58,0.98,0,0,0,58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
市立三民國小,桃園市復興區三民國民小學,國小,桃園市,公立,是,是,[336]桃園市復興區三民里十一鄰57號,(03)3825294,http://www.sames.tyc.edu.tw,6,73,45,0.62,泰雅族,43,0.96,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
市立義盛國小,桃園市復興區義盛國民小學,國小,桃園市,公立,是,是,[336]桃園市復興區義盛里一鄰11號,(03)3822787,http://www.ysps.tyc.edu.tw,6,40,40,1,泰雅族,40,1,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
市立霞雲國小,桃園市復興區霞雲國民小學,國小,桃園市,公立,是,是,[336]桃園市復興區霞雲里六鄰14號,(03)3822224,http://www.hyps.tyc.edu.tw,6,25,23,0.92,泰雅族,23,1,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
市立奎輝國小,桃園市復興區奎輝國民小學,國小,桃園市,公立,是,是,[336]桃園市復興區奎輝里三鄰25號,(03)3822177,http://163.30.109.57,6,40,40,1,泰雅族,40,1,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
市立光華國小,桃園市復興區光華國民小學,國小,桃園市,公立,是,是,[336]桃園市復興區華陵里四鄰12號,(03)3912325,http://www.khes.tyc.edu.tw,6,24,24,1,泰雅族,24,1,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
市立高義國小,桃園市復興區高義國民小學,國小,桃園市,公立,是,是,[336]桃園市復興區高義里三鄰28號,(03)3912251,http://www.gyes.tyc.edu.tw,6,45,41,0.91,泰雅族,40,0.98,0,0,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
市立長興國小,桃園市復興區長興國民小學,國小,桃園市,公立,是,是,[336]桃園市復興區長興里十六鄰頭角43號,(03)3822178,http://www.cses.tyc.edu.tw/,6,30,30,1,泰雅族,30,1,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
市立三光國小,桃園市復興區三光國民小學,國小,桃園市,公立,是,是,[336]桃園市復興區三光里四鄰8號,(03)3912230,http://www.skes.tyc.edu.tw,6,32,32,1,泰雅族,32,1,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
市立羅浮國小,桃園市復興區羅浮國民小學,國小,桃園市,公立,是,是,[336]桃園市復興區羅浮里三鄰16號,(03)3822269,http://163.30.110.180,10,55,49,0.89,泰雅族,48,0.98,0,0,1,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
市立巴崚國小,桃園市復興區巴崚國民小學,國小,桃園市,公立,是,是,[336]桃園市復興區華陵里九鄰75號,(03)3912131,http://www.bles.tyc.edu.tw/,6,46,45,0.98,泰雅族,44,0.98,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣立竹東國小,新竹縣竹東鎮竹東國民小學,國小,新竹縣,公立,否,是,[310]新竹縣竹東鎮康寧街1號,(03)5962025,http://www.cdes.hcc.edu.tw/front/bin/home.phtml,21,503,127,0.25,泰雅族,113,0.89,0,0,4,113,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0
大同國小,新竹縣竹東鎮大同國民小學,國小,新竹縣,公立,否,是,[310]新竹縣竹東鎮莊敬路111號,(03)5961160,http://www.dtes.hcc.edu.tw,60,1589,161,0.1,泰雅族,121,0.75,0,0,12,121,1,4,0,0,1,16,1,0,0,1,0,4,0,0,0
縣立尖石國小,新竹縣尖石鄉尖石國民小學,國小,新竹縣,公立,是,是,[313]新竹縣尖石鄉嘉樂村六鄰7號,(03)5841563,http://www.gsps.hcc.edu.tw,6,21,19,0.9,泰雅族,19,1,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣立嘉興國小,新竹縣尖石鄉嘉興國民小學,國小,新竹縣,公立,是,是,[313]新竹縣尖石鄉嘉樂村三鄰177號,(03)5841004,http://www.jsps.hcc.edu.tw,11,87,83,0.95,泰雅族,81,0.98,0,0,0,81,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
縣立新樂國小,新竹縣尖石鄉新樂國民小學,國小,新竹縣,公立,是,是,[313]新竹縣尖石鄉新樂村一鄰10號,(03)5841500,http://www.hles.hcc.edu.tw,7,123,112,0.91,泰雅族,112,1,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣立梅花國小,新竹縣尖石鄉梅花國民小學,國小,新竹縣,公立,是,是,[313]新竹縣尖石鄉梅花村1鄰25號,(03)5841501,http://www.mhes.hcc.edu.tw,6,62,62,1,泰雅族,62,1,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣立錦屏國小,新竹縣尖石鄉錦屏國民小學,國小,新竹縣,公立,是,是,[313]新竹縣尖石鄉錦屏村十鄰116號,(03)5841633,http://www.gpes.hcc.edu.tw,6,43,42,0.98,泰雅族,42,1,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣立玉峰國小,新竹縣尖石鄉玉峰國民小學,國小,新竹縣,公立,是,是,[313]新竹縣尖石鄉玉峰村五鄰59號,(03)5847200,http://www.yfes.hcc.edu.tw,6,31,30,0.97,泰雅族,30,1,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣立石磊國小,新竹縣尖石鄉石磊國民小學,國小,新竹縣,公立,是,是,[313]新竹縣尖石鄉玉峰村十鄰49號,(03)5847001,http://www.sles.hcc.edu.tw,6,31,31,1,泰雅族,31,1,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣立秀巒國小,新竹縣尖石鄉秀巒國民小學,國小,新竹縣,公立,是,是,[313]新竹縣尖石鄉秀巒村四鄰19號,(03)5847500,http://www.slps.hcc.edu.tw,12,74,72,0.97,泰雅族,70,0.97,0,0,2,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣立新光國小,新竹縣尖石鄉新光國民小學,國小,新竹縣,公立,是,是,[313]新竹縣尖石鄉秀巒村八鄰17號,(03)5847706,http://www.hkps.hcc.edu.tw,9,60,60,1,泰雅族,60,1,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣立五峰國小,新竹縣五峰鄉五峰國民小學,國小,新竹縣,公立,是,是,[311]新竹縣五峰鄉大隘村六鄰123號,(03)5851007,http://www.wfes.hcc.edu.tw,6,73,73,1,泰雅族/賽夏族,46,0.63,27,0.37,0,46,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0
縣立桃山國小,新竹縣五峰鄉桃山國民小學,國小,新竹縣,公立,是,是,[311]新竹縣五峰鄉桃山村15鄰243號,(03)5856040,http://www.tses.hcc.edu.tw,6,66,65,0.98,泰雅族,61,0.94,0,0,1,61,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
縣立花園國小,新竹縣五峰鄉花園國民小學,國小,新竹縣,公立,是,是,[311]新竹縣五峰鄉花園村八鄰174號,(03)5851091,http://www.hyes.hcc.edu.tw,12,34,34,1,泰雅族,33,0.97,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
縣立上館國小,新竹縣竹東鎮上館國民小學,國小,新竹縣,公立,否,是,[310]新竹縣竹東鎮中豐路二段399號,(03)5103777,http://www.sqes.hcc.edu.tw,42,1089,189,0.17,泰雅族,147,0.78,0,0,13,147,1,4,0,0,0,22,2,0,0,0,0,0,0,0,0
縣立南庄國小,苗栗縣南庄鄉南庄國民小學,國小,苗栗縣,公立,是,是,[353]苗栗縣南庄鄉東村文化路3號,(037)822007,http://www.nanjuanges.mlc.edu.tw,7,146,53,0.36,泰雅族/賽夏族,29,0.55,24,0.45,0,29,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0
泰興國小,苗栗縣泰安鄉泰興國民小學,國小,苗栗縣,公立,是,是,[365]苗栗縣泰安鄉中興村1鄰2號,(037)992852,http://www.tses.mlc.edu.tw,6,28,27,0.96,泰雅族,26,0.96,0,0,0,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
縣立清安國小,苗栗縣泰安鄉清安國民小學,國小,苗栗縣,公立,是,是,[365]苗栗縣泰安鄉清安村六鄰122號,(037)941042,http://web.ca.mlc.edu.tw,6,18,14,0.78,泰雅族,14,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
汶水國小,苗栗縣泰安鄉汶水國民小學,國小,苗栗縣,公立,是,是,[365]苗栗縣泰安鄉錦水村四鄰12號,(037)941037,https://www.ws.mlc.edu.tw/,9,53,48,0.91,泰雅族,39,0.81,0,0,3,39,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0
縣立象鼻國小,苗栗縣泰安鄉象鼻國民小學,國小,苗栗縣,公立,是,是,[365]苗栗縣泰安鄉象鼻村一鄰4號,(037)962270,http://www.cnbe.mlc.edu.tw/,6,37,36,0.97,泰雅族,36,1,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣立梅園國小,苗栗縣泰安鄉梅園國民小學,國小,苗栗縣,公立,是,是,[365]苗栗縣泰安鄉梅園村二鄰38號,(037)962146,http://www.my.mlc.edu.tw,6,43,42,0.98,泰雅族,41,0.98,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
縣立士林國小,苗栗縣泰安鄉士林國民小學,國小,苗栗縣,公立,是,是,[365]苗栗縣泰安鄉士林村5鄰26號,(037)962050,http://web.shlines.mlc.edu.tw,6,27,27,1,泰雅族,27,1,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
市立和平區和平國小,臺中市和平區和平國民小學,國小,臺中市,公立,是,是,[424]臺中市和平區南勢里東關路三段54號,(04)25941304,http://www.hpps.tc.edu.tw,6,43,22,0.51,泰雅族,20,0.91,0,0,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
市立白冷國小,臺中市和平區白冷國民小學,國小,臺中市,公立,是,是,[424]臺中市和平區天輪里東關路二路天輪巷42號,(04)25941184,http://www.plps.tc.edu.tw,6,30,17,0.57,泰雅族,16,0.94,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
市立博屋瑪國小,臺中市博屋瑪國民小學,國小,臺中市,公立,是,是,[424]臺中市和平區達觀里育英巷6號,(04)25911487,http://www.tges.tc.edu.tw/,6,63,61,0.97,泰雅族,58,0.95,0,0,0,58,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
市立平等國小,臺中市和平區平等國民小學,國小,臺中市,公立,是,是,[424]臺中市和平區中興路三段環山3巷35號,(04)25802204,http://www.pdes.tc.edu.tw,6,37,31,0.84,泰雅族,30,0.97,0,0,0,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
市立博愛國小,臺中市和平區博愛國民小學,國小,臺中市,公立,是,是,[424]臺中市和平區博愛里東關路一段松鶴三巷10號,(04)25943446,http://www.baes.tc.edu.tw,12,66,43,0.65,泰雅族,38,0.88,0,0,2,38,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
市立自由國小,臺中市和平區自由國民小學,國小,臺中市,公立,是,是,[424]臺中市和平區自由里東崎路二段49號,(04)25911342,http://www.yyps.tc.edu.tw,12,51,40,0.78,泰雅族,29,0.73,0,0,2,29,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0
縣立親愛國小,南投縣仁愛鄉親愛國民小學,國小,南投縣,公立,是,是,[546]南投縣仁愛鄉親愛村高平路3號,(049)2974033,http://www.caps.ntct.edu.tw,12,97,86,0.89,泰雅族/賽德克族,44,0.51,36,0.42,0,44,2,3,0,0,0,0,0,0,0,1,0,36,0,0,0
縣立力行國小,南投縣仁愛鄉力行國民小學,國小,南投縣,公立,是,是,[546]南投縣仁愛鄉力行村新望洋67號,(049)2955078,http://www.lhes.ntct.edu.tw,10,35,35,1,泰雅族,34,0.97,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
縣立發祥國小,南投縣仁愛鄉發祥國民小學,國小,南投縣,公立,是,是,[546]南投縣仁愛鄉發祥村光復巷24號,(049)2955030,http://www.fsnps.ntct.edu.tw,6,11,11,1,泰雅族,9,0.82,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
縣立紅葉國小,南投縣仁愛鄉紅葉國民小學,國小,南投縣,公立,是,是,[546]南投縣仁愛鄉發祥村仁盛路70號,(049)2955075,http://www.hyps.ntct.edu.tw,6,20,20,1,泰雅族,20,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
市立烏來國中小,新北市立烏來國民中小學,國中小,新北市,公立,是,是,[233]新北市烏來區啦卡路5號,(02)26616482,http://www.wups.ntpc.edu.tw/default_page.asp,10,112,97,0.87,泰雅族,97,1,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣立泰安國中小,苗栗縣立泰安國民中小學,國中小,苗栗縣,公立,是,是,[365]苗栗縣泰安鄉大興村32之1號,(037)991224,http://web.taian.mlc.edu.tw,8,31,26,0.84,泰雅族,25,0.96,0,0,0,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
